months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,payment_Credit Card,payment_Mailed Check,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E
0,0,0.117647059,0,1,1,0,1,0,1,0.811442786,0,1,1,0,0,1,0,0,0,0,0,0
0,1,0.211764706,0,0,0,0,1,0,1,0.752238806,0.5,1,0,0,0,1,0,0,0,0,0,0
0,1,0.211764706,0,0,0,0,1,0,1,0.658208955,0.25,1,1,0,0,1,0,0,0,0,0,0
0,0,0.105882353,0,0,1,0,1,0,1,0.570149254,0,1,1,0,0,1,0,0,0,0,0,0
0.25,1,0.094117647,0,0,0,0,0,0,1,0.780597015,0,1,0,0,0,1,0,0,0,0,1,0
0.25,1,0.105882353,0,1,0,0,1,0,1,0.6960199,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0.223529412,0,0,0,0,1,0,0,0.571144279,0.5,1,0,0,0,1,0,0,0,0,1,0
0,1,0.235294118,0,0,0,0,1,0,1,0.561691542,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.305882353,0,0,0,0,0,0,1,0.075124378,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0.164705882,0,0,0,0,1,0,1,0.767164179,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.070588235,0,0,0,0,0,0,0,0.266169154,0.5,1,0,0,1,0,0,0,0,0,0,0
0,0,0.223529412,0,0,0,0,1,0,1,0.618905473,0.25,1,0,0,0,1,0,0,0,0,1,0
0,0,0.129411765,0,1,0,0,1,0,1,0.561691542,0.25,1,0,0,0,1,0,0,0,0,0,0
0,1,0.235294118,0,0,1,0,0,0,1,0.70199005,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.058823529,0,1,0,1,1,0,1,0.704477612,0,1,0,0,0,1,0,0,0,0,1,0
0.25,0,0.270588235,0,1,0,0,1,0,1,0.76119403,0.25,1,0,0,0,1,0,0,0,0,1,0
0.25,1,0.070588235,1,0,1,0,1,0,1,0.667661692,0,1,0,0,0,1,0,0,0,0,1,0
0.25,0,0.023529412,0,0,0,0,1,0,1,0.266666667,0,1,0,0,1,0,0,0,0,0,0,0
0.5,1,0.2,0,0,0,0,1,0,1,0.660696517,0.25,1,0,0,0,1,0,0,0,0,0,0
0,0,0.188235294,0,0,0,0,1,0,1,0.605472637,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.141176471,0,0,1,0,1,0,1,0.317412935,0.25,1,0,1,0,0,0,0,0,0,0,1
0,0,0.176470588,0,0,0,0,1,0,1,0.510945274,0,1,0,0,0,1,0,0,0,0,0,1
0.5,1,0.270588235,1,1,1,0,1,0,1,0.944776119,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.047058824,0,0,0,0,0,0,1,0.718905473,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.270588235,0,0,0,0,1,0,1,0.664179104,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.117647059,0,0,0,0,1,0,0,0.667164179,0,1,0,0,0,1,0,0,0,0,0,0
0.75,0,0.035294118,0,0,0,0,1,0,1,0.264676617,0.25,1,0,0,0,0,0,0,0,0,0,0
0,0,0.164705882,0,0,0,0,1,0,0,0.267164179,0.25,1,0,0,0,0,0,0,0,0,0,1
0,0,0.305882353,0,1,1,0,1,0,1,0.249253731,0.5,1,0,0,1,0,0,0,0,0,0,1
0.5,0,0.317647059,1,1,0,0,1,0,1,0.387064677,0,1,1,0,1,0,0,0,0,0,0,0
0.5,1,0.258823529,1,1,0,1,1,0,1,0.81840796,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.164705882,0,0,0,0,1,0,0,0.267164179,0,1,1,0,1,0,0,0,0,0,0,1
0.5,0,0.341176471,0,1,0,0,1,0,1,0.319900498,0.5,1,0,0,1,0,0,0,0,0,0,0
0,0,0.235294118,0,0,0,0,1,0,0,0.6039801,0.5,1,0,0,0,1,0,0,0,0,0,1
0,1,0.070588235,0,0,0,0,1,0,1,0.749253731,0,1,0,0,0,1,0,0,0,0,0,1
1,1,0.223529412,1,1,1,0,1,0.5,1,0.901492537,0,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.082352941,0,0,0,0,1,0,1,0.661691542,0.25,1,0,0,0,1,0,0,0,0,0,0
0,0,0.317647059,0,0,0,0,0,0,1,0.514427861,0.25,1,0,0,0,1,0,0,0,0,0,1
0,1,0.129411765,0,1,0,0,0,0,1,0.624378109,0,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.082352941,0,0,1,0,1,0,1,0.78159204,0,1,0,0,0,1,0,0,0,0,0,0
0.5,0,0.117647059,1,1,0,1,1,0,1,0.894527363,0,1,1,0,0,1,0,0,0,0,0,0
0.5,1,0.070588235,0,0,0,0,1,0,1,0.745771144,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.152941176,0,0,0,0,1,0,1,0.52039801,0.5,1,0,0,0,1,0,0,0,0,0,1
0.25,1,0.329411765,0,0,1,0,0,0,1,0.798507463,0.5,1,0,0,0,1,0,0,0,0,0,0
0,1,0.070588235,0,0,0,0,1,0,1,0.766169154,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.2,0,0,0,0,1,0,1,0.558706468,0.5,1,1,0,0,1,0,0,0,0,0,0
0,1,0.329411765,0,0,1,0,1,0,1,0.699502488,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.023529412,0,0,0,0,1,0,1,0.726865672,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.258823529,0,0,0,0,1,0,1,0.515920398,0.25,1,1,0,0,1,0,0,0,0,0,0
0.75,1,0.247058824,0,1,1,0,1,0,1,0.766169154,0.25,1,0,0,0,1,0,0,0,0,0,0
0,1,0.270588235,0,0,1,0,1,0,1,0.821393035,0,1,0,0,0,1,0,0,0,0,0,0
0.25,0,0.094117647,0,1,0,0,1,0,1,0.579104478,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.235294118,0,0,1,0,1,0,1,0.682587065,0.25,1,0,0,0,1,0,0,0,0,0,0
1,1,0.294117647,0,0,1,0,1,0,1,0.808457711,0,1,1,0,0,1,0,1,0,0,0,0
1,1,0.047058824,0,1,1,1,1,1,1,0.897014925,0.5,1,0,0,0,1,0,1,0,0,0,0
0,1,0.035294118,0,0,1,1,0,0,1,0.644776119,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.047058824,0,1,1,0,1,0.5,1,0.860696517,0.5,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.105882353,0,0,0,0,1,0,1,0.756218905,0.25,1,0,0,0,1,0,0,0,0,0,0
0,0,0.094117647,0,0,0,0,1,0,1,0.51641791,0.25,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.035294118,0,1,1,0,1,0,0,0.876616915,0.25,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.235294118,0,0,0,0,1,0,1,0.75920398,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0.070588235,0,0,0,0,1,0,1,0.061691542,0.5,1,1,0,1,0,0,0,0,0,0,0
0,1,0.152941176,0,0,0,0,0,0,1,0.662189055,0.5,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.047058824,0,1,0,0,1,0,1,0.812935323,0.5,1,0,0,0,1,0,0,0,0,0,0
0,1,0.082352941,0,1,1,0,1,0,1,0.861691542,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.105882353,0,0,0,0,1,0,1,0.556716418,0,1,1,0,0,1,0,0,0,0,0,0
1,1,0.176470588,0,0,0,0,1,0,1,0.752238806,0.25,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.2,1,1,1,0,1,0,1,0.82039801,0,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.070588235,0,1,0,0,1,0,1,0.710945274,0.5,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.164705882,0,0,0,0,1,0,1,0.77761194,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.176470588,0,0,0,0,0,0,1,0.509950249,0.25,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.058823529,0,0,0,0,1,0,1,0.666666667,0.25,1,1,0,0,1,0,0,0,0,0,0
0.75,0,0.2,1,0,1,0,1,0.5,0,0.442288557,0,1,1,0,1,0,0,0,0,0,0,0
0.25,1,0.258823529,0,1,1,0,1,0,0,0.872636816,0.25,1,1,0,0,1,0,0,0,1,0,0
0.5,1,0.270588235,0,0,0,0,0,0,1,0.770149254,0,1,0,0,0,1,0,0,0,1,0,0
0.5,0,0.247058824,0,0,1,1,1,0,1,0.802487562,0.25,1,0,0,0,1,0,0,0,1,0,0
0,1,0.329411765,0,0,0,0,1,0,1,0.575124378,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.058823529,0,0,0,0,1,0,1,0.512437811,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.294117647,0,1,1,1,0,0,1,0.917412935,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.023529412,0,0,1,0,1,0,1,0.805970149,0.25,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.176470588,0,0,1,0,1,0,1,0.612935323,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.023529412,0,0,0,0,1,0,1,0.618905473,0,1,1,0,0,1,0,0,0,0,0,0
0,1,0.329411765,1,0,0,0,1,0,1,0.821393035,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.211764706,0,0,0,0,1,0,1,0.606965174,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.070588235,0,0,0,0,1,0,1,0.708955224,0.25,1,0,0,0,1,0,0,0,0,0,0
0,1,0.270588235,0,0,0,0,1,0,1,0.674626866,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.047058824,0,0,0,0,1,0,1,0.163681592,0,1,0,0,1,0,0,0,0,0,1,0
0.75,1,0.070588235,1,0,0,1,0,0.5,1,0.415920398,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0,0.094117647,0,1,0,0,1,0,1,0.557711443,0,1,1,0,0,1,0,0,0,0,1,0
0,1,0.317647059,0,0,0,0,1,0,1,0.560199005,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.258823529,0,0,1,1,1,0,1,0.862189055,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.341176471,0,0,0,0,0,0,1,0.558706468,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.235294118,0,0,0,0,1,0,1,0.511940299,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.317647059,0,1,1,0,1,0,1,0.794527363,0.5,1,0,0,0,1,0,0,0,0,1,0
0,1,0.235294118,1,0,0,0,1,0,1,0.809452736,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0.235294118,0,1,1,0,1,0,1,0.84278607,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.058823529,0,0,0,0,1,0,1,0.524875622,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,0,0.305882353,0,0,0,0,1,0,0,0.52039801,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.094117647,0,0,0,0,1,0,1,0.507462687,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.082352941,0,1,1,1,0,0,1,0.652238806,0,1,1,0,0,0,0,0,0,0,1,0
0.75,0,0.294117647,0,1,1,0,1,0,1,0.360199005,0.25,1,0,0,1,0,0,0,0,0,0,0
0.5,1,0.176470588,0,0,1,0,1,0,1,0.811442786,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2,0,0,0,0,1,0,1,0.517412935,0.25,1,1,0,0,1,0,0,0,0,0,0
1,1,0.047058824,0,1,0,0,0,0,1,0.713432836,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.129411765,0,0,0,0,1,0,1,0.564179104,0.5,1,0,0,0,1,0,0,0,0,1,0
0.5,0,0.105882353,0,1,0,0,1,0,1,0.558706468,0,1,0,0,0,1,0,0,0,1,0,0
0.75,0,0.282352941,0,0,0,0,1,0,1,0.525373134,0.5,1,0,0,0,0,0,0,0,0,0,0
0,0,0.152941176,0,0,1,0,1,0,1,0.120895522,0,1,0,0,1,0,0,0,0,0,0,0
0.25,1,0.341176471,0,1,1,0,1,0,1,0.877114428,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.294117647,0,0,0,0,1,0,1,0.669651741,0.5,1,0,0,0,1,0,0,0,0,0,1
0.5,0,0.047058824,0,1,1,0,1,0,1,0.610945274,0.5,1,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0.011940299,0,1,0,0,0,0,1,0,0,0,0,0
0.5,1,0.105882353,0,0,0,0,1,0,1,0.673631841,0.5,1,1,0,0,1,0,0,0,1,0,0
0.25,0,0.188235294,0,0,0,1,1,0,0,0.409452736,0,1,0,0,1,0,0,0,0,0,0,0
0.5,1,0.023529412,0,0,0,1,1,0,1,0.808955224,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0.235294118,0,1,1,1,1,0,1,0.764676617,0.5,1,1,0,0,1,0,0,0,0,0,1
0.25,0,0.188235294,0,0,0,0,1,0,0,0.629353234,0.25,1,0,0,0,1,0,0,0,0,0,0
0,0,0.235294118,0,0,0,0,1,0,1,0.181094527,0,1,1,0,1,0,0,0,0,0,0,1
0,0,0.247058824,0,0,0,0,1,0,0,0.067661692,0,1,1,0,1,0,0,0,0,0,0,1
0.5,0,0.247058824,0,1,1,0,1,0,0,0.371144279,0,1,1,0,1,0,0,0,1,0,0,0
0,1,0.047058824,0,0,0,0,1,0,1,0.680597015,0,1,0,0,0,0,0,0,0,0,0,0
0.5,1,0.023529412,1,1,0,0,1,0,1,0.880597015,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.047058824,0,1,0,0,1,0,1,0.826865672,0,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.341176471,0,0,0,0,0,0,1,0.768159204,0.25,1,0,0,0,1,0,0,0,1,0,0
0,0,0.117647059,0,0,0,0,1,0,1,0.510945274,0.25,1,0,0,0,1,0,0,0,0,0,1
0,0,0.152941176,0,0,0,0,1,0,0,0.599004975,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0.247058824,0,0,0,0,1,0,1,0.658706468,0.5,1,0,0,0,1,0,0,0,0,0,1
0.5,0,0.352941176,0,1,1,1,1,0.5,1,0.51641791,0.5,1,1,0,0,0,0,0,0,1,0,0
0.75,1,0.129411765,0,0,1,0,1,0,1,0.791542289,0.25,1,0,0,0,1,0,0,1,0,0,0
0,1,0.294117647,0,0,0,0,1,0,1,0.645771144,0.5,1,1,0,0,1,0,0,0,0,0,0
0,1,0.294117647,0,0,0,0,1,0,1,0.569154229,0.5,1,1,0,0,1,0,0,0,0,0,0
0,0,0.070588235,1,1,0,0,1,0,0,0.364179104,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0.129411765,0,0,0,0,1,0,1,0.764676617,0,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.070588235,0,1,0,0,1,0,1,0.832338308,0,1,0,0,0,1,0,0,1,0,0,0
0.75,1,0.352941176,1,0,1,0,1,0,1,0.751741294,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0.023529412,0,1,1,0,1,1,1,0.854726368,0.5,1,0,0,0,1,0,0,0,0,0,0
0,0,0.129411765,0,0,0,0,1,0,1,0.727860697,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.211764706,0,0,0,0,1,0,1,0.568159204,0.5,1,0,0,0,1,0,0,0,0,0,0
0,1,0.058823529,0,0,0,0,1,0,1,0.662189055,0.25,1,1,0,0,1,0,0,0,0,0,0
0.75,1,0.047058824,0,1,1,0,0,0,1,0.764179104,0.5,1,0,0,0,1,0,0,1,0,0,0
0,0,0.329411765,0,0,1,0,1,0,0,0.319402985,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0.141176471,0,1,0,0,1,0,1,0.711940299,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.176470588,0,1,0,0,1,0,1,0.807960199,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0.329411765,0,0,0,0,1,0,1,0.516915423,0,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.258823529,0,1,1,0,1,0,1,0.656218905,0.25,1,0,0,0,0,0,0,1,0,0,0
0.25,1,0.211764706,0,1,1,0,0,0,0,0.870646766,0,1,0,0,0,1,0,0,0,1,0,0
0.25,0,0.141176471,0,0,1,0,1,0,1,0.299502488,0.25,1,0,0,1,0,0,0,0,0,0,0
0,0,0.105882353,1,0,0,0,1,0,1,0.311442786,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0.235294118,0,1,0,0,1,0,0,0.317412935,0,1,1,0,1,0,0,0,0,0,0,1
0.25,1,0.247058824,0,1,1,0,0,0,1,0.772636816,0.5,1,0,0,0,1,0,0,0,1,0,0
0,0,0.176470588,0,0,0,0,1,0,0,0.069651741,0.25,1,0,0,1,0,0,0,0,0,0,1
0.75,1,0.258823529,0,0,1,0,1,0,1,0.823383085,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0.258823529,0,0,0,0,0,0,1,0.526368159,0.5,1,0,0,0,1,0,0,0,0,0,1
0.25,1,0.058823529,1,0,0,0,1,0,1,0.605970149,0,1,0,0,0,1,0,0,0,0,0,0
0.75,0,0.035294118,0,0,0,0,0,0,1,0.61840796,0.5,1,0,0,0,1,0,0,1,0,0,0
0,1,0.164705882,0,0,0,0,1,0,1,0.752238806,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.258823529,1,0,1,0,1,0,1,0.373631841,0,1,0,0,0,0,0,0,0,0,0,1
0.5,1,0.247058824,0,0,1,0,1,0,1,0.797512438,0,1,0,0,0,1,0,0,1,0,0,0
